"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2027","testPlaceOrder","DemoBlaze Parallel Test Suite","Tue Mar 25 10:02:25 IST 2025","passed","Tue Mar 25 10:02:27 IST 2025","TestCases.CartTest","Cart Test on Firefox","TestCases.CartTest","testPlaceOrder"
"","4438","testAboutUsNavigation","DemoBlaze Parallel Test Suite","Tue Mar 25 10:00:53 IST 2025","passed","Tue Mar 25 10:00:57 IST 2025","TestCases.AboutUsTest","About Us Test on Chrome","TestCases.AboutUsTest","testAboutUsNavigation"
"","7398","Runs Cucumber Scenarios","DemoBlaze Parallel Test Suite","Tue Mar 25 10:00:28 IST 2025","passed","Tue Mar 25 10:00:36 IST 2025","MyRunner.signUpRunner","Signup Test on Chrome","MyRunner.signUpRunner","runScenario"
"","24696","testAddingProductsFromDifferentCategories","DemoBlaze Parallel Test Suite","Tue Mar 25 10:01:06 IST 2025","passed","Tue Mar 25 10:01:30 IST 2025","TestCases.CategoryTest","Category Test on Chrome","TestCases.CategoryTest","testAddingProductsFromDifferentCategories"
"","3272","testAboutUsNavigation","DemoBlaze Parallel Test Suite","Tue Mar 25 10:01:56 IST 2025","passed","Tue Mar 25 10:01:59 IST 2025","TestCases.AboutUsTest","About Us Test on Firefox","TestCases.AboutUsTest","testAboutUsNavigation"
"","11848","testValidLogin","DemoBlaze Parallel Test Suite","Tue Mar 25 10:01:36 IST 2025","passed","Tue Mar 25 10:01:48 IST 2025","TestCases.LoginTest","Login Test on Firefox","TestCases.LoginTest","testValidLogin"
"","5252","testInvalidLogin","DemoBlaze Parallel Test Suite","Tue Mar 25 10:00:54 IST 2025","passed","Tue Mar 25 10:01:00 IST 2025","TestCases.LoginTest","Login Test on Chrome","TestCases.LoginTest","testInvalidLogin"
"","3514","testSubmitContactForm","DemoBlaze Parallel Test Suite","Tue Mar 25 10:01:43 IST 2025","passed","Tue Mar 25 10:01:47 IST 2025","TestCases.ContactTest","Contact Form Test on Firefox","TestCases.ContactTest","testSubmitContactForm"
"","2497","testInvalidLogin","DemoBlaze Parallel Test Suite","Tue Mar 25 10:02:03 IST 2025","passed","Tue Mar 25 10:02:05 IST 2025","TestCases.LoginTest","Login Test on Firefox","TestCases.LoginTest","testInvalidLogin"
"","2712","testPlaceOrder","DemoBlaze Parallel Test Suite","Tue Mar 25 10:01:07 IST 2025","passed","Tue Mar 25 10:01:09 IST 2025","TestCases.CartTest","Cart Test on Chrome","TestCases.CartTest","testPlaceOrder"
"","15311","testValidLogin","DemoBlaze Parallel Test Suite","Tue Mar 25 10:00:30 IST 2025","passed","Tue Mar 25 10:00:46 IST 2025","TestCases.LoginTest","Login Test on Chrome","TestCases.LoginTest","testValidLogin"
"","1580","testOpenCart","DemoBlaze Parallel Test Suite","Tue Mar 25 10:01:05 IST 2025","passed","Tue Mar 25 10:01:07 IST 2025","TestCases.CartTest","Cart Test on Chrome","TestCases.CartTest","testOpenCart"
"","7427","Runs Cucumber Scenarios","DemoBlaze Parallel Test Suite","Tue Mar 25 10:01:21 IST 2025","passed","Tue Mar 25 10:01:29 IST 2025","MyRunner.signUpRunner","Signup Test on Firefox","MyRunner.signUpRunner","runScenario"
"","5599","testSubmitContactForm","DemoBlaze Parallel Test Suite","Tue Mar 25 10:00:41 IST 2025","passed","Tue Mar 25 10:00:46 IST 2025","TestCases.ContactTest","Contact Form Test on Chrome","TestCases.ContactTest","testSubmitContactForm"
"","2900","testOpenCart","DemoBlaze Parallel Test Suite","Tue Mar 25 10:02:22 IST 2025","passed","Tue Mar 25 10:02:25 IST 2025","TestCases.CartTest","Cart Test on Firefox","TestCases.CartTest","testOpenCart"
"","21510","testAddingProductsFromDifferentCategories","DemoBlaze Parallel Test Suite","Tue Mar 25 10:02:16 IST 2025","passed","Tue Mar 25 10:02:38 IST 2025","TestCases.CategoryTest","Category Test on Firefox","TestCases.CategoryTest","testAddingProductsFromDifferentCategories"
